"ID","WT","treat1","log2FoldChange","pvalue","padj"
"AT1G01060",20985.9861723022,6013.191223479,-1.80335903200844,4.0615397350586e-100,2.7835237768528e-98
"AT1G01110",107.167036782713,40.4869031660348,-1.39884597293485,6.69984902034937e-11,3.1820696203715e-10
"AT1G01120",2235.08465542965,922.342496551641,-1.27746787962867,2.43027818557594e-10,1.10129879590791e-09
"AT1G01180",370.553550387016,126.607695374156,-1.54779655229756,1.82260828191997e-10,8.34296376403067e-10
"AT1G01190",53.7528397581194,23.8937895069068,-1.1655472938844,0.00197807702597983,0.00418751611972718
"AT1G01430",2463.18823914174,1063.08947748565,-1.21218594041862,6.49549033136702e-16,4.40336129771304e-15
"AT1G01520",1260.65720759385,514.429263856629,-1.2933749512811,0.0128355643707363,0.0236259599786665
"AT1G01570",62.6326731098408,25.9418429906096,-1.27414608041406,5.45620063437305e-05,0.000144664619732051
"AT1G01620",12685.553239546,2836.80612592106,-2.16071707523863,5.87338197495926e-53,1.66047246147226e-51
"AT1G01695",9.2299566016751,2.63762595818903,-1.82452550420414,0.0159443475933322,0.0287835880563906
"AT1G01750",27.9148765455872,12.4615892477895,-1.15604759747004,0.00731373184416246,0.0140448980349371
"AT1G01810",15.6033954103592,5.8507224396164,-1.40639064757629,0.0187720952922308,0.0334503053564013
"AT1G02180",165.604811019096,60.9719480730967,-1.44386680745276,2.27546904016777e-10,1.03383414603376e-09
"AT1G02230",12.9452579681538,2.25053186950152,-2.53627777600782,0.00150962739778262,0.00325715327653876
"AT1G02350",58.8790859906814,15.9209175229747,-1.88732728381308,2.36222907909145e-07,8.15532263643318e-07
"AT1G02380",104.307211325754,23.4537232132634,-2.15758905579661,1.28666671781208e-16,9.08598974853233e-16
"AT1G02570",9.58356636207329,2.57782348585187,-1.89796643581502,0.03853354131135,0.0642348552141513
"AT1G02640",642.675965061691,221.522223659552,-1.53596580679761,0.00252951966486003,0.00525728092539867
"AT1G02650",38.6455664061358,8.00979512450988,-2.252223478397,5.44465260562153e-06,1.63032197191893e-05
"AT1G02700",31.4110864436621,11.8966515811649,-1.40266899949396,0.00335574306717722,0.00684383522609977
"AT1G02720",423.139940310466,207.542190036032,-1.028569320766,1.49173749269328e-19,1.25328551469458e-18
"AT1G02800",160.770212375489,27.2087445349577,-2.56706506988537,3.88174482490146e-19,3.17488468782923e-18
"AT1G02810",395.156478600436,88.1318062663868,-2.16085288983352,6.11604935153876e-52,1.68800194659324e-50
"AT1G02850",1995.36605321107,809.160946252961,-1.30279093528449,2.75078312051281e-19,2.27580897166061e-18
"AT1G02940",25.6364463791908,11.5605825843031,-1.15211774072124,0.0065188684018337,0.0126288193796998
"AT1G02970",101.900878195299,49.9976186481032,-1.02233550654721,7.45707215258839e-06,2.19731456979289e-05
"AT1G03010",24.1207460934453,8.16281225755737,-1.5690375497067,0.000259909576444443,0.000626422389221726
"AT1G03130",18396.3760872052,6600.8277807494,-1.47862987597578,1.20676701840424e-26,1.46262800372711e-25
"AT1G03200",14.5140398520402,5.27700739248036,-1.47994143402209,0.0229782371418972,0.0402457307816231
"AT1G03270",143.503210318549,43.1647715799783,-1.73837352757353,1.57397195919862e-14,9.7072214005379e-14
