,col.0h.1,col.0h.2,col.0h.3,col.24h.1,col.24h.2,col.24h.3,col.3h.1,col.3h.2,col.3h.3
AT1G01010,12.6357032310626,16.4083374930784,13.269866303244,10.5482671992712,12.2294145523162,13.5726838826605,12.5595439385505,14.0068931670833,12.4133907744016
AT1G01020,12.3875414411492,11.0604051462807,11.7399940453494,7.72762356013964,9.08265498534777,8.58045300034579,11.0383157204738,10.3278026568965,9.43750514459777
AT1G03987,0.381584854981281,0,0.589626938786568,0.793470366861397,0.360543030674685,0.376870153867793,0.567546495795438,0.196219257618814,0.603415478436202
AT1G01030,4.7673068496349,4.15052130556012,4.321661104443,3.37047884968106,4.47868256056995,4.46625752951144,5.59145020109647,5.49125515074761,6.40433407874475
AT1G01040,11.1328703223015,11.0088899193056,10.412642084673,17.1689851765021,15.8135930319809,14.8971447985326,12.571409474845,12.0870312691249,12.8169970753339
AT1G01050,116.174737376481,113.06087876585,112.56324108424,102.678470924083,95.416088303325,96.0413959154518,101.236654247432,108.484153609654,104.394503441865
AT1G01060,347.628822273645,356.788621153307,310.615218565223,82.9133624274027,75.8082561053563,84.9045162314395,201.753903564683,209.898280802385,215.992050168424
AT1G01070,12.7825716357902,10.7827333884412,11.970725689692,5.71680015272286,8.78378127380468,10.0213293563709,14.501417399942,14.5744505932052,14.5812774341357
AT1G01080,83.1966835113189,78.2512901975772,71.7514606576893,45.8352138187647,45.661738324545,44.1469182271468,69.0354940845799,66.6092484171987,62.8513571316066
AT1G01090,177.309762614635,170.729435074308,178.790478538328,144.337951291682,148.808431116187,151.0327018743,159.203577084986,163.267669208566,154.318204324911
AT1G01100,423.651910582769,383.301594895824,387.331630305439,317.621738488074,297.239087522486,295.191472856633,385.631047345617,348.723798759896,355.421115793914
AT1G01110,2.80707695137139,2.60401718437163,2.64867567896124,0.760288878792648,1.0252532726822,0.768815113890298,3.5552488366919,3.0082196004397,3.20797610717719
AT1G01120,60.2666045229889,57.1979319515972,62.7341607957556,29.8966641736139,14.1223229208131,18.4835342520734,54.742606901792,56.6228343486525,59.2954708478646
AT1G01130,11.9013772369628,10.6054518054408,11.119577896263,8.7768402179762,5.09952062586275,5.46712969877545,20.0341390586919,17.5058972877201,17.0694170540033
AT1G01140,40.4315470049562,46.172326642953,55.7061910730597,98.1440760666149,108.741021303315,120.486362855725,100.503025297109,122.444199844788,120.856490939665
AT1G01150,0.0647480228040601,0.0886071746511074,0.233447638063969,0.100978137766516,0.397654446807763,0.31974011806625,0.0963023374025945,0.199769075754151,0.238906856091189
AT1G01160,27.2372408430928,26.7893659769705,28.1046939819871,13.7359612941586,14.8768792988418,16.1314882949374,22.7902657957078,24.0102574065525,24.0398201417791
AT1G04007,2.57796420384762,2.76098425203353,1.73194953941627,1.28189165099854,1.0590464831913,1.54980728502004,1.00025473125071,1.49855571261366,1.18163434222208
AT1G01170,61.0654318604607,60.30839445535,53.7709237328623,36.7738848859181,45.9870885416674,37.420645025599,63.9472452997215,60.4187669828369,56.6218526872277
AT1G04013,2.91782154170425,3.61272920796356,3.00575553266299,5.85064897011054,6.69538543710741,6.17522179831565,3.71982281581588,2.35778320801402,3.2957632557158
AT1G01180,11.5481834133895,14.8280698810372,15.7147458117622,2.29757628206569,4.7821476705972,4.9283020121173,11.9808441584949,13.782785656038,12.4750071805638
AT1G01190,1.60043356652343,1.67643492478107,1.80131983888194,0.462215747686251,0.784093581273102,0.643972301754676,1.64570116580166,1.95076232817151,0.749875546017804
AT1G01200,3.65461551249677,2.94194906722712,3.5432980359005,3.12917891156607,2.76247054488773,1.48624849412651,2.77111904050354,2.52045018237124,2.90092699492334
AT1G01210,21.363103999507,21.6362709457503,20.1276782705607,21.5624287668089,16.4655766312191,17.2586309871149,19.2311283780355,19.2058901111299,15.2842926489865
AT1G01220,9.57245519627025,9.19915230411375,9.05155958043689,13.3426356920625,12.7069811204629,10.6569712144942,12.0625947455259,10.5719747380189,10.0363184765656
AT1G01225,6.26408564166114,5.3192551584193,5.01338014928648,3.25639649166887,3.23250093239996,2.99816478954434,5.16008847430727,4.55913714266778,4.92742617860128
AT1G01230,34.3600609142962,33.1852750353711,32.8934650843307,61.8399644821476,66.9457616408922,61.0839405556675,42.0001683798694,41.9174509061122,38.0969163554546
AT1G01240,7.6022199841207,8.00618480871335,12.1121167617089,12.7329008281837,20.2556233417951,21.6074588454017,24.1896532521034,20.7402738622995,22.6518134571133
AT1G01250,9.55204108361671,9.61793919745464,8.09992562373467,13.2013520969173,7.31930677760236,5.63740225673395,5.0244744768063,5.33117372439533,5.03500891546616
AT1G01260,7.83897776159076,8.9568426292838,8.63815597563861,9.77633859416882,9.27619352995116,8.37489230817318,10.4634086467636,9.90301635982358,9.97249613744768
AT1G01290,11.2727076604663,10.0032867412774,8.96723087112517,6.14046340312333,6.33242722257725,4.89465007358824,9.11519174906425,9.82397296531521,8.63551941826692
AT1G01300,35.3856108778373,33.22469681497,36.2186877962941,70.7027504004101,76.5470272264241,63.6577920036552,79.8814811812488,69.574666895436,80.764420764608
AT1G01310,0.212468946888246,0,0.109436047321697,0,0.0501881803190964,0.209843770423828,2.58077778777263,2.78603228422537,2.85587837491197
AT1G01320,157.948887352107,174.655177614541,185.389029723322,72.1780012478282,80.5965209574269,73.420431120872,164.284933387521,178.692704340496,179.293641492704
AT1G01340,3.51637689147307,4.24807514677833,4.0801189013079,2.69177289011208,2.81132287209628,3.3011917275508,2.91196851851161,3.06002690362504,3.15711052008814
AT1G01350,20.4107982681201,20.5363089727292,21.9951955221916,23.3658763262365,25.7820952144386,28.8797123209373,24.8675602676562,24.1549463800097,24.226388060321
AT1G01355,0.354639227408571,0.647094765219705,0.243551294381088,0.0614532858161446,0.223388848162903,0.350257455075307,0.175823060200864,0.182363228037531,0.124623394179686
AT1G01360,22.9326348469496,26.1024160666444,20.4043927926141,12.5851534014488,18.3409065375275,21.2581617581202,16.8470007595574,18.4695744983083,15.5451564588936
AT1G01370,4.52153386340944,4.2315778252858,4.59769808591752,3.27557412829123,3.30751110770706,2.65058986239113,4.71477261337578,3.54010865235157,3.62885950831709
AT1G01380,2.79531013204086,1.88496027823367,2.19096348838725,1.26360620483782,2.0670007941256,1.50041981633548,1.68713275252851,3.31229135577613,2.37032528297499
AT1G01390,8.11221136145389,9.43820845197084,6.37670615280289,8.1991937909011,10.1753255323745,10.1894523082774,7.73544853528596,8.92434253170012,9.50565617882214
AT1G01420,19.7329068715044,18.1596622831455,16.3446843546487,50.8293964149026,51.6857934040045,56.7701226481909,17.6920822280191,17.466546013733,18.5988723772889
AT1G01430,51.3848531425777,63.3643441983928,76.1309504243186,22.6544341668844,23.0923249449934,23.3214456603399,39.1839348862205,47.4692451083685,50.3000808941233
AT1G01440,10.0673680608913,11.9786463476395,11.8253189777464,10.6005397986911,14.467585358098,12.261197458274,15.6736421189849,18.0105704448986,16.8768699467075
AT1G01448,2.52300195816626,2.65898272274478,3.20398566792992,1.49249581159847,1.64405204264064,1.4607272351087,3.70942934608742,3.13161329845952,3.09547588267356
AT1G01453,0.207582161109817,0.28407460193145,0.28511738195546,0.17985328315525,0.130756939124686,0.0341695606173466,0.205830195808479,0.498135288674962,0.182365566816274
AT1G01460,0,0,0,0,0.0266923528425461,0,0.0560234610257155,0,0
AT1G01470,68.6422465242588,63.1862276056725,66.3881441107345,2309.66038529096,2169.12957915892,2454.96125833042,130.628881687057,133.231129164205,137.017689964038
AT1G01480,1.53076787085334,1.37366828786968,0.956480578972924,0.913181563409151,1.1144057311763,1.1896558822287,1.49296563690869,0.645208390622792,1.32276765098845
AT1G01490,61.8852579458699,65.383256600569,66.9974911037591,25.1585744904977,29.1268527862604,30.8579060153081,58.9038400912384,64.2175940003675,59.7432529074306
AT1G01500,5.73690123766555,7.1032002363006,6.87465768674334,48.3260598393464,43.6686139758627,44.7788911981979,19.1550943645792,21.2824298460961,19.9645552842859
AT1G01510,22.3562130281335,21.4196056190254,23.6786904240599,30.1596973118133,27.7430820782183,25.4619592768624,28.333849479893,24.8541416582502,27.531183977838
AT1G01520,57.7779063038659,45.3183663870492,28.3456591160065,28.1332213701285,8.36786771948753,8.77908106541398,9.62398742996193,10.6877713520132,9.9221567839585
AT1G01530,0,0,0,0.0711820381880937,0.064688459329495,0,0.067885948485646,0.21123339606458,0.0721763457056495
AT1G01540,46.9553271931164,44.6245015307674,51.539095677344,76.6334891719878,76.5121851355439,77.215228471844,62.9875520626306,64.7793164389195,64.634549568067
AT1G01550,133.681444742983,140.392188920775,136.450831867819,197.711506677026,225.388230977953,235.323228421231,174.222290297842,178.848422044456,183.396608890147
AT1G01560,0.477394039348875,0.640500094542411,0.636422727579153,3.4160445014877,3.55548495184819,2.9399134946743,3.53631424075714,3.0902409489924,2.72364158232098
AT1G01570,1.87209376067209,2.00936942126578,1.61654749052997,0.88733980548744,0.624303688128474,0.40785947686488,2.48415753561957,3.31272236310935,2.03165883455796
AT1G01580,44.8850900996227,48.7246086236809,34.6267557295908,23.797429150121,21.2135928869392,16.2215493036035,36.1105606681542,46.8921339414325,32.8258020269294
AT1G01590,0,0.0902167816093274,0,0.0411249885263529,0.0186866814678953,0,0.0392206927988717,0,0.104248609079425
AT1G01600,10.4327237664964,11.515436224083,10.1948181397656,8.59393647448676,5.08702469797395,4.36864378103829,9.56937630103991,8.96036971511139,10.6451876281906
AT1G01610,41.8739589086347,42.131802043591,44.4193833578836,55.5611473379919,41.7657864009957,41.4368340784994,31.100126141208,36.797460278461,42.5456202332331
AT1G01620,397.709463288353,439.071622201989,517.718590225209,72.2083646186249,93.6359811001019,87.8834922527494,428.569295694833,504.980456803023,536.995366922137
AT1G01630,46.7375656859831,48.434175425094,41.4591324927628,27.1056773599089,23.704668223669,23.5305594920673,39.4194746198456,38.7206001701126,39.9132751713509
AT1G01640,8.24982389845853,6.4333058163872,8.83078925017468,7.42733362941308,8.70938759711496,6.96439978834906,7.03771095792756,7.91568699651598,7.82260823909951
AT1G01650,15.5370298069825,14.7520514568203,13.8776208678572,42.0195049494302,38.7312930564292,42.3780961546798,17.5830204917067,17.6438330235484,17.5957597813766
AT1G01660,0.998976342951981,0.67770347614446,0.580507996330836,0.532635586836871,0.459843628461691,0.328877804559851,0.711160597561378,0.6849272408096,0.432060572911213
AT1G01670,1.19546725978778,0.838968109661696,0.820996596002877,0.47805066402754,0.434440509495781,0.454114066089958,0.425520192161651,0.725072460521736,0.77556531664334
AT1G01680,0.174879663950983,0.319095312475653,0.270224982897972,1.81823032675906,2.72639784611287,1.33857166698114,0.260105554939105,0.26978081586681,0.18436283081679
AT1G01690,4.58066125161598,3.97520971486421,4.05693799001479,2.1779864752385,1.76817443245841,1.7379028408715,4.09887903386099,4.3087974762366,3.97513748980576
AT1G01695,0.313000846064259,0.285559511390682,0.322433709991851,0.130171254394632,0.0295740966054024,0.0618267079927863,0.434502825892446,0.32190372781856,0.32997388446853
AT1G04037,3.99196463672725,3.64198207604423,2.81365837456047,5.89802264598188,8.33774004540001,8.92282048509658,2.70829205011156,4.5376696336788,3.76544287758299
