"ID","WT","treat1","log2FoldChange","pvalue","padj"
"AT1G01140",1597.05889317126,4388.60874387129,1.45850752645324,2.96852642568585e-24,3.17797752232924e-23
"AT1G04013",14.3532451981581,33.6173245943599,1.22522344738283,0.00124077505490214,0.00270676232023448
"AT1G01230",531.778289842544,1198.95478534804,1.1733067843039,6.1217833621367e-45,1.43476724754478e-43
"AT1G01240",355.905663200187,838.560184272091,1.23742348572873,1.61532479417793e-08,6.22601806135119e-08
"AT1G01300",1306.55083478959,3132.26348425069,1.26195022689006,7.79117516310734e-44,1.77653356663077e-42
"AT1G01420",593.894993348515,2083.41120100606,1.8101989336806,1.98105500690431e-71,8.5850408629576e-70
"AT1G01470",1614.94397729822,67453.7361147418,5.38455718892438,0,0
"AT1G01500",211.319734084761,1747.99406519695,3.04691877084879,6.81654197704574e-176,1.19647475651771e-173
"AT1G01560",19.6020003319215,131.884394844749,2.74923590919122,1.70439267108401e-27,2.14459888546197e-26
"AT1G01650",744.448399068435,2477.20273397845,1.73394958415984,2.50619619108056e-100,1.73218625127432e-98
"AT1G01680",5.48542123722964,50.1666267030992,3.18977686274836,4.8001616287421e-10,2.12510149551896e-09
"AT1G04037",15.5917360474549,41.3596305748566,1.40582316568003,0.000230658143242198,0.000560629346366124
"AT1G04047",7.38100764526105,18.639469809158,1.33470388284852,0.0105330360873923,0.0196772599127256
"AT1G01940",296.846477652937,877.313318642536,1.56286655275677,1.07113687186949e-38,2.08901657872676e-37
"AT1G02270",398.765966798522,4492.98128242299,3.49523446625636,1.24391296237277e-211,3.16135296416362e-209
"AT1G02310",12.4459994272223,350.484951102179,4.80296426931844,4.67710586523151e-62,1.69809566815355e-60
"AT1G04103",0,15.2346775780031,6.48882618775877,9.0415781456626e-06,2.63871320093153e-05
"AT1G02370",268.344990600406,601.879675569544,1.16386086943737,1.00932957034504e-17,7.61224817844768e-17
"AT1G02400",196.202201481428,393.393057106906,1.00222552517279,1.61723065585823e-05,4.57368651230198e-05
"AT1G02405",7.02183264059341,18.755697296226,1.41659727926847,0.0119724438342065,0.0221458441749029
"AT1G02460",98.0888154151407,580.245226388855,2.56669586069212,1.05173890305149e-26,1.27854139295716e-25
"AT1G02520",273.423549297685,561.596075479849,1.03836339093141,1.36848211857998e-24,1.49054583612118e-23
"AT1G02620",5.01208903029724,32.8697183379767,2.7269218263313,0.000254781044027501,0.000615216539210509
"AT1G02820",2725.73139140314,5944.97530642501,1.12494611907012,2.06774582764357e-10,9.41737216778941e-10
"AT1G02830",1.78177923365526,9.73231246796456,2.42498609197765,0.0294258490487194,0.0503335583995975
"AT1G02860",197.62689977437,879.025015587168,2.15273099798189,8.1959263702671e-17,5.85546739624529e-16
"AT1G02870",555.280070278654,1394.10294598494,1.32701243169079,2.5337964496582e-39,5.0423789379087e-38
"AT1G02920",843.376003887041,1735.01915782508,1.04069285314558,0.00572168300982658,0.0111928818211793
"AT1G02930",1384.49516984344,5272.92196968378,1.92925287293624,1.02310918041684e-06,3.31454226315365e-06
"AT1G04157",0,2.22414158553752,3.71259913542067,0.0262761348007447,0.0454124824930718
"AT1G03340",82.0329777619441,237.901042759501,1.53793709746581,2.05994247489875e-17,1.52022009989654e-16
"AT1G03530",659.622252028056,2094.20596262655,1.66636365063444,3.86236155636893e-39,7.63027508115702e-38
"AT1G03700",9.74696862414581,21.0097401179321,1.10546437682793,0.0361040206671705,0.0605463049402736
"AT1G03740",660.533595990384,2030.08732775185,1.61988771141917,2.23447388234454e-15,1.46039897619722e-14
"AT1G03750",179.58965827646,394.787270183068,1.13768708979994,1.10641438428512e-17,8.31617318169698e-17
"AT1G03790",19.1492003961306,50.5552092786925,1.40315591909061,7.81474623559208e-05,0.000202769518936484
"AT1G03905",145.430980695561,571.03420059795,1.9729509959995,5.08781826309977e-35,8.78503821536506e-34
"AT1G03960",218.683501792718,885.529370094246,2.01741010070626,2.35370047654047e-69,9.93522218453884e-68
"AT1G03980",9.98659236369105,21.3387872103847,1.08938634151905,0.0340172632839982,0.0573964861412855
"AT1G04400",2980.05185356701,16332.7825009995,2.45441482198041,7.11113527493121e-31,1.0223775983369e-29
"AT1G04430",2525.49945111484,7313.35776047931,1.53414721222991,4.63617080246104e-77,2.23103146426912e-75
"AT1G04570",71.9677274940017,5134.10165727991,6.15747457825053,3.39588980099494e-164,5.27725601048883e-162
"AT1G04620",670.279668820457,1789.8090240287,1.41681023149402,1.28661559783824e-31,1.91524388993639e-30
"AT1G04780",1407.30427778385,3223.44380914471,1.19561577473018,4.34646680926732e-32,6.55408511820174e-31
"AT1G04297",0.92299566016751,6.43834780097253,2.79732251346183,0.0276510803885445,0.047566174950272
"AT1G04945",262.955451874602,762.777671755437,1.53526767540553,1.1612168902611e-32,1.80915515252811e-31
