"","col.0h.1","col.0h.2","col.0h.3","col.24h.1","col.24h.2","col.24h.3","col.3h.1","col.3h.2","col.3h.3"
"AT1G01010",385.358802911013,502.388390490336,407.515523354971,378.009383776835,442.265907462637,509.676799117267,378.84562416819,432.470859950212,384.265121534512
"AT1G01020",351.604747181582,315.173571470006,335.543808013043,257.733670756933,305.699237699828,299.876953395618,309.881008118156,296.774585609175,271.895164323375
"AT1G03987",1.87522531830177,0,2.91777224359168,4.5819319245677,2.10102568865861,2.2804331056701,2.75858464200139,0.976232189503864,3.00990956815545
"AT1G01030",164.082215351405,143.416856772455,149.77897517104,136.312474755889,182.789234913299,189.275947770618,190.342340298096,191.341509142757,223.736611232888
"AT1G01040",1262.96425187624,1253.82401729212,1189.47848463754,2288.67499632157,2127.28850976684,2080.89520892396,1410.55628027671,1388.20217347449,1475.85899158555
"AT1G01050",2445.29381506551,2389.13590144293,2385.76510451013,2539.53576919165,2381.51261809453,2489.09273483891,2107.55866648906,2311.71782474515,2230.34299000319
"AT1G01060",21486.3316971017,22139.4405245143,19332.1862952906,6021.8040318631,5556.16243365769,6461.60720491622,12333.6319343882,13134.227877585,13550.6128758358
"AT1G01070",422.863309277049,358.112750144393,398.762206624196,222.223698341533,344.568212940012,408.197525914947,474.476558424238,488.116094751932,489.611956419952
"AT1G01080",2666.57040262511,2517.95343746609,2315.73857066393,1726.24285258088,1735.44721883201,1742.25089273195,2188.4771493211,2161.37806756155,2044.73189996693
"AT1G01090",6073.85480597943,5871.50329193577,6167.19793220495,5809.88968035184,6044.65090627082,6370.38988068942,5393.95250332671,5662.14669912241,5365.66545683177
"AT1G01100",6552.03726214638,5951.37016427013,6032.00781825187,5772.08874197416,5451.11114922476,5621.26760547679,5898.77349281296,5460.06663589511,5579.36903617081
"AT1G01110",111.575906438955,103.912812392018,106.012391517164,35.5099724153997,48.323590839148,37.6271462435566,139.76828852807,121.052791498479,129.426111430684
"AT1G01120",2234.33096675656,2128.92447867614,2341.99852085626,1302.41414955837,620.853090998619,843.760249097936,2007.33009116301,2125.25747654991,2231.34629319257
"AT1G01130",80.634688686976,72.1378201729713,75.8620783333837,69.8744618496574,40.9700009288429,45.6086621134019,134.251119244067,120.076559308975,117.386473158062
